hostname;INTERFACE;VRF;IP_ADDRESS;PIM;
AQUICFDZEUSR1-01;Vlan30;RVP_RUS;173.1.193.252/24;sparse-mode;
AQUICFDZEUSR1-01;Vlan3903;RVP_RUS;192.2.8.233/30;sparse-mode;
AQUICFDZEUSR1-01;loopback53;RVP_RUS;192.2.7.251/32;sparse-mode;
AQUICFDZEUSR1-01;loopback90;RVP_RUS;192.2.7.253/32;sparse-mode;
AQUICFDZEUSR1-02;Vlan30;RVP_RUS;173.1.193.253/24;sparse-mode;
AQUICFDZEUSR1-02;Vlan3903;RVP_RUS;192.2.8.234/30;sparse-mode;
AQUICFDZEUSR1-02;loopback53;RVP_RUS;192.2.7.252/32;sparse-mode;
AQUICFDZEUSR1-02;loopback90;RVP_RUS;192.2.7.253/32;sparse-mode;
DC2CFDZEUSA2-02;Vlan30;RVP_RUS;173.1.192.252/24;sparse-mode;
DC2CFDZEUSA2-02;Vlan168;RDS;192.16.240.28/27;sparse-mode;
DC2CFDZEUSA2-02;Vlan2134;RDS;192.2.34.153/30;sparse-mode;
DC2CFDZEUSA2-02;Vlan3903;RVP_RUS;192.2.8.222/30;sparse-mode;
DC2CFDZEUSA2-02;Ethernet1/1.2133;RDS;192.2.34.146/30;sparse-mode;
DC2CFDZEUSA2-02;loopback53;RVP_RUS;192.2.7.132/32;sparse-mode;
DC2CFDZEUSA2-02;loopback90;RVP_RUS;192.2.7.254/32;sparse-mode;
DC2CFDZEUSA3-02;Vlan30;RVP_RUS;173.1.192.253/24;sparse-mode;
DC2CFDZEUSA3-02;Vlan168;RDS;192.16.240.29/27;sparse-mode;
DC2CFDZEUSA3-02;Vlan2134;RDS;192.2.34.154/30;sparse-mode;
DC2CFDZEUSA3-02;Vlan3903;RVP_RUS;192.2.8.221/30;sparse-mode;
DC2CFDZEUSA3-02;Ethernet1/1.2133;RDS;192.2.34.150/30;sparse-mode;
DC2CFDZEUSA3-02;loopback53;RVP_RUS;192.2.7.133/32;sparse-mode;
DC2CFDZEUSA3-02;loopback90;RVP_RUS;192.2.7.254/32;sparse-mode;
SC2CFDZEUSR2-04;loopback53;RVP_RUS;192.2.7.168/32;;
